,titulo,vinculo,resumen,Cluster,Similitud
10,"[BOOK][B] The economics of staging the Olympics: a comparison of the Games, 1972-2008",https://books.google.com/books?hl=en&lr=&id=GQzccu2Qw-oC&oi=fnd&pg=PR7&dq=Olympics&ots=FHe36W8l6t&sig=etxqZWzD-Ite07Cqk5SAAc87FDs,""" This book arises from the need to analyse, in detail, the various economic aspects that the Olympic Games mean for host cities. Since 1984 increasingly more cities in the world have announced their interest in staging the Olympic Games, making it a festival with significant …",2,27
11,"At the Olympics, everything is a performance issue",https://www.tandfonline.com/doi/abs/10.1080/1612197X.2008.9671871,"For the great majority of sports, the performance of an athlete at the Olympic Games is considered an ultimate moment of the athletic career. Making the team or winning an Olympic medal can change an athlete's entire future. At the Olympic Games, everything is a …",2,27
12,Sport politics and the Olympics,https://journals.sagepub.com/doi/abs/10.1111/1478-9302.12001,"Sport and politics have long been linked, but the Olympic Games represent the most political sports event of all. The following article focuses on two of the most important aspects of the Olympics (and sports 'mega-events' in general) that students of politics and international …",3,24
13,[BOOK][B] Activism and the Olympics,https://www.degruyter.com/document/doi/10.36019/9780813562032/html,"In his detective-fiction thriller An Olympic Death, Manuel Vásquez Montalbán captured what it was like to be in Barcelona as the city prepared to host the 1992 Summer Olympics. The acclaimed Spanish novelist and leftist columnist for El País presented one character in the …",4,17
14,Bidding for the Olympics: Fool's gold,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.399.2989&rep=rep1&type=pdf,"Governments have spent billions to accommodate the Olympic Games in recent times. While the motivations for hosting the Games are complex, those who seek public funding for them use the promise of substantial economic returns to justify public subsidies. Do the Olympic …",5,17
15,Television in the Olympics.,https://www.cabdirect.org/cabdirect/abstract/19961802904,"This book is based on a large, international research project involving participating scholars from 25 countries and broadcasts from 28 television television Subject Category: Miscellaneous see more details networks, including the pan-European Eurosport channel. It …",0,13
16,[BOOK][B] The best Olympics ever?: Social impacts of Sydney 2000,https://books.google.com/books?hl=en&lr=&id=9sebeSYUOeEC&oi=fnd&pg=PR3&dq=Olympics&ots=wd5ZiEptdF&sig=aMbcZKZeETYSZy9OtaK2Z8zbOJU,"Uses the Sydney Olympics as a prism through which to explore recent Olympic scandals, media coverage, reform efforts, and controversies. Despite International Olympic Committee president Juan Antonio Samarach's proclaiming the Sydney 2000 Olympics as the “best …",3,22
17,Going for the gold: The economics of the Olympics,https://pubs.aeaweb.org/doi/pdfplus/%0910.1257/jep.30.2.201,"In this paper, we explore the costs and benefits of hosting the Olympic Games. On the cost side, there are three major categories: general infrastructure such as transportation and housing to accommodate athletes and fans; specific sports infrastructure required for …",2,21
18,[BOOK][B] Television in the Olympics,https://books.google.com/books?hl=en&lr=&id=U_u73VtZcJIC&oi=fnd&pg=PR15&dq=Olympics&ots=9uUjn9paWw&sig=kSDNJ4VT25tpF5cuQSD47Q5N8po,"British Library Cataloguing in Publication Data Television in the Olympics Acamedia Research 
Monograph: 13 I. Title II. Series 302.2345 ISBN: 0 86196 538 8 ISSN: 0956-9057 Series 
Editor: Manuel Alvarado Published by John Libbey & Company Ltd, 13 Smiths Yard, Summerley …",0,17
19,[BOOK][B] Nazi games: the Olympics of 1936,https://books.google.com/books?hl=en&lr=&id=92mPBAAAQBAJ&oi=fnd&pg=PP19&dq=Olympics&ots=SxfEgglSTQ&sig=SYqAp3d__oREcDLnIT6w5MjF1FQ,"Athletics and politics collide in a critical event for Nazi Germany and the contemporary world. The torch relay—that staple of Olympic pageantry—first opened the summer games in 1936 in Berlin. Proposed by the Nazi Propaganda Ministry, the relay was to carry the symbolism of …",2,29
20,Atlanta and the Olympics: A one-year retrospective,https://www.tandfonline.com/doi/pdf/10.1080/01944369708975930,"The 1996 Olympics provided a number of unique opportunities for the City of Atlanta. Although most cities will not have an opportunity to host the Olympics, the Atlanta experience can provide important lessons for any city considering similar large-scale events …",4,21
21,"Globalization, cities and the Summer Olympics",https://www.tandfonline.com/doi/pdf/10.1080/13604810802478888,"This study examines the relationship between the increasing globalization of the Summer Olympics and the effect on host cities. The impact of the Games on city structure, the competition to host the Games, the selling of the Games to urban communities and the …",4,28
22,The Olympics: A sociological perspective,https://journals.sagepub.com/doi/abs/10.1177/101269028401900202,"The modern Olympic Games have grown into a social and cultural spectacle without parallel in kind or scope. In spite of its goals of mutual understanding, the Olympic movement has been quite powerless in promoting peace and understanding. Rather, it has become an …",5,18
23,The cold war and the Olympics,https://journals.sagepub.com/doi/pdf/10.1177/002070208804300402,"From 1952 to 1988, from the games held at Helsinki to those just completed in Seoul, one of the most dramatic aspects of the modern Olympics has been the sports rivalry between the United States and the Soviet Union. Propagandists on both sides of the Iron Curtain have …",5,24
24,[BOOK][B] Owning the Olympics: Narratives of the new China,https://library.oapen.org/bitstream/handle/20.500.12657/24006/1006127.pdf?sequence=1,""" A major contribution to the study of global events in times of global media. Owning the Olympics tests the possibilities and limits of the concept of'media events' by analyzing the mega-event of the information age: the Beijing Olympics.... A good read from cover to cover."" …",3,13
25,[HTML][HTML] The animal-ai olympics,https://www.nature.com/articles/s42256-019-0050-3,"The past decade has seen great progress in artificial intelligence (AI). Machines can now categorize and generate images, make complex physical and social inferences, and reach, or exceed, human performance in many games. However, the long-term goal of recreating …",5,27
26,[BOOK][B] Managing the Olympics,https://www.researchgate.net/profile/Dwight-Zakus/publication/304692874_Managing_Sport_at_the_Olympic_Games/links/57883a5808aecf56ebcb5b3b/Managing-Sport-at-the-Olympic-Games.pdf,The Olympic Games are the world's most complex and challenging sport mega-event to organize. Managing the Olympics is the first ever attempt to bring together the world's leading Olympic management researchers in one book and draws on the latest research …,0,22
27,Models for measuring and benchmarking Olympics achievements,https://www.sciencedirect.com/science/article/pii/S0305048307000886,"As demonstrated in several recent studies, data envelopment analysis (DEA) is a useful tool for evaluating and comparing the performance of nations competing in the Olympic Games. Assurance regions (ARs) have been used to further refine the DEA results. These AR DEA …",2,13
28,"Ethics, the Olympics and the search for global values",https://link.springer.com/article/10.1023/A:1013015331517,"The backlash against the Olympic Games reflects the failure of the major global institutions in dealing with the social and ethical consequences of globalisation in areas such as the environment, poverty, terrorism and natural disasters. Disillusionment with the Olympic …",5,17
29,The hidden workforce: Volunteers' learning in the Olympics,https://www.emerald.com/insight/content/doi/10.1108/03090590210421987/full/html,"Examines the demographic make‐up of volunteers and their motives for participating in a mega‐event. Compares the Olympic Winter Games held in Lillehammer, Norway in 1994 and the Olympic Summer Games held in Sydney, Australia in 2000. Finds that volunteers in …",3,13
30,Olympics in Atlanta: a fight against physics.,https://europepmc.org/article/med/8784753,"Environmental stress can become so severe that athletes, in spite of proper training, heat acclimation, and hydration level, are unable to maintain thermal balance. Such incompensable conditions occur when air temperature exceeds 35 degrees C and relative …",2,13
31,Economics and the summer Olympics: an efficiency analysis,https://www.zora.uzh.ch/id/eprint/11613/2/2008_RathkeA_Olympics_Rathke_WoitekV.pdf,"Applying stochastic frontier analysis, we estimate distance to frontier of countries in the production of success at the Summer Olympic Games since the 1950s. Our measures of success are medal shares and a broader concept including Olympic diplomas. Following …",2,13
32,[BOOK][B] The games: A global history of the Olympics,https://books.google.com/books?hl=en&lr=&id=K2zFCgAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=41wnWXsIn8&sig=FancdAOJhnx_jYmZI2YW6AYb7X4,"The Olympic Games have become the single greatest festival of a universal and cosmopolitan humanity. Seventeen days of sporting competition watched and followed on every continent and in every country on the planet. Simply, the greatest show on earth. Yet …",5,13
33,Towards fair ranking of Olympics achievements: The case of Sydney 2000,https://www.academia.edu/download/47474037/j.cor.2004.09.02720160724-26778-622ury.pdf,"In this paper, the issue of whether it is possible to design an objective impartial system of analysis of the Olympic results, which the majority of participating countries would agree upon, is analyzed by discussing different ways of ranking the performance of participating …",2,30
34,"The state of the modern Olympics: citius, altius, fortius?",https://www.cambridge.org/core/journals/european-review/article/state-of-the-modern-olympics-citius-altius-fortius/C97413DCE3E18E224B8BB6D87A733F55,"Baron Pierre de Coubertin purported to follow the traditions of the ancient Olympic Games, but adapted them to fit his own political, social, and sporting conceptions. From their very beginning, the modern Games have had aspirations that have extended beyond sport. After …",5,13
35,[BOOK][B] The politics of the Olympics: A survey,https://www.taylorfrancis.com/books/mono/10.4324/9780203850534/politics-olympics-alan-bairner-gyozo-molnar,"With the ever increasing global significance of the Olympic Games, it has never been more topical to address the political issues that surround, influence and emanate from this quadrennial sporting mega event. In terms of the most recent evidence of the politics of the …",3,24
36,China and the Olympics: views of insiders and outsiders,https://www.academia.edu/download/46051913/China_and_the_Olympics_Views_of_insiders20160529-25444-1d8r6l8.pdf,Purpose–The purpose of this paper is to examine the views of residents and foreigners of the Olympics and the host country before and after the mega‐event within the context of marketing theory on country image effects and psychology theories attribution …,2,29
37,Visibilities and invisibilities in urban development: small business communities and the London Olympics 2012,"http://www.gamesmonitor.org.uk/files/(2010%20US)%20Small%20Business%20Communities%20&%202012.%20Raco,%20M%20&%20Tunney,%20E.pdf","The principal stated rationale for bringing the 2012 Olympic Games to London was that it represented a once in a generation opportunity to regenerate the city's East End. And yet, its arrival opens up questions over how problem places within cities are characterised and how …",1,18
38,Olympics 2012 security: welcome to lockdown London,https://www.researchgate.net/profile/Stephen-Graham-9/publication/254238542_Olympics_2012_security/links/57cebf2708ae83b374622316/Olympics-2012-security.pdf,"As a metaphor for the London Olympics, it could hardly be more stark. The much-derided 'Wenlock'Olympic mascot is now available in London Olympic stores dressed, no less, as a Metropolitan police officer. For£ 10.25 you, too, can own the ultimate symbol of the Games: a …",1,29
39,"Media, the Olympics and the search for the “real China”",https://www.cambridge.org/core/journals/china-quarterly/article/media-the-olympics-and-the-search-for-the-real-china/504698C2FA657791C84AF5DEC903E5BA,"The Beijing Olympics were about more than just sporting competition. They were about China and its role on the international stage. The Games were explicitly recognized for their role showcasing China's economic, technological, cultural, social and environmental …",5,24
40,The privatisation of urban development and the London Olympics 2012,https://www.tandfonline.com/doi/full/10.1080/13604813.2012.696903,"'On the Olympics she [Tessa Jowell] was telling me it was an enormous opportunity. Think of the impact on our young people, on fitness, on sport, on the country's self-belief. I would say but suppose we get beaten by the French and I end up humiliated? One day when I had …",2,13
41,A sustainable sports legacy: Creating a link between the London Olympics and sports participation,https://www.tandfonline.com/doi/abs/10.1080/09523360802439015,"The London 2012 bid was based on the promise to use the Olympic Games to promote sports participation for all groups across the UK. This is the most ambitious project in the history of the Olympic Games in terms of both its scope and level of change, as, in order to …",1,35
42,The economic consequences of the Sydney Olympics: the CREA/Arthur Andersen study,https://www.tandfonline.com/doi/abs/10.1080/13683500208667904,This paper assesses the economic impact of the 2000 Olympics. It draws on economic modelling I undertook for Arthur Andersen (financial adviser to the Sydney Organising Committee for the Olympic Games). The analysis is undertaken with a large-scale …,4,18
43,The most controversial Olympics,https://books.google.com/books?hl=en&lr=&id=eBhYiKPLDqIC&oi=fnd&pg=PA65&dq=Olympics&ots=01gj_C_ct4&sig=gOK9OQEbyLcRE4SKxioYO4fBHEw,"The 1936 Olympics were the most controversial in the history of the modern Games. They were intensely controversial before they took place. From January 1933 to December 1935, there was an international boycott movement on the part of those who felt that it was morally …",5,30
44,Predicting the success of nations at the Summer Olympics using neural networks,https://www.sciencedirect.com/science/article/pii/S0305054899000039,"In this paper, we construct several models that try to predict a country's success at the Summer Olympic Games. Our data set consists of total scores for over 271 sporting events for 195 countries that were represented at the 1996 Summer Games and information we …",2,26
45,Home advantage in the Winter Olympics (1908-1998),https://wlv.openrepository.com/bitstream/handle/2436/8008/Nevill12.pdf?sequence=1&isAllowed=y,"We obtained indices of home advantage, based on the medals won by competing nations, for each event held at the Winter Olympics from 1908 to 1998. These indices were designed to assess home advantage while controlling for nation strength, changes in the number of …",3,29
46,Mediating the olympics,https://www.academia.edu/download/40048018/MediatingtheOlympics.pdf,"The Olympics have long been an incredibly elaborate media spectacle. This article explores, through the 2008 Beijing Games, the transformation of the Olympic spectacle as new media forms become more regular partners in its production, distribution and exhibition, as well as …",3,25
47,Modelling the economic impact of sports events: The case of the Beijing Olympics,https://www.sciencedirect.com/science/article/pii/S026499931200288X,Major sports events are used increasingly by policy-makers to stimulate economic development. This has resulted in a growth of academic interest in ways of analysing their contribution. Following a review of the literature on the contrasting approaches that have …,5,27
48,"Not just the Games? Power, protest and politics at the Olympics",https://journals.sagepub.com/doi/abs/10.1177/1354066110380965,"This article conducts a theoretical and empirical analysis of political protest activity surrounding the modern Olympic Games. Although the Olympics are certainly among the world's most prominent and recognized events, they have seldom been explored from a …",3,27
49,[BOOK][B] The First London Olympics: 1908,https://books.google.com/books?hl=en&lr=&id=YZ6vwSK5hU4C&oi=fnd&pg=PT1&dq=Olympics&ots=TvgtWtjf2O&sig=F31_wFj13IMReuO7z1Y9cbADl7c,"In the summer that saw the first successful flight of the Zeppelin, a 140 acre site of scrubland in West London was transformed into the White City, which housed the 1908 Franco-British Exhibition-and a state-of-the-art stadium built to house the first London Olympics. The …",1,13
50,Mega-events and modernity revisited: Globalization and the case of the Olympics,https://journals.sagepub.com/doi/pdf/10.1111/j.1467-954X.2006.00651.x,"In Mega-Events and Modernity (2000) 1 I reviewed the history, politics and sociology of the two great popular cultural mega-event genres at the heart of 19th and 20th century international public culture, namely Worlds Fairs or Expos and Olympic Games. The genres …",3,13
51,The political process of constructing a sustainable London Olympics sports development legacy,https://www.tandfonline.com/doi/pdf/10.1080/19406940902950713,This study attempts to develop a research agenda for understanding the process of constructing a sustainable Olympic sports development legacy. The research uses a social constructivist perspective to examine the link between the 2012 London Olympic Games and …,1,29
52,[BOOK][B] The Sydney Olympics and brand Australia.,https://www.cabdirect.org/cabdirect/abstract/20023033321,"This chapter considers the relationship between events and destination branding from a number of perspectives. After discussing the growing importance of event tourism tourism Subject Category: Activities see more details, the nature of destination image is examined in …",3,28
53,Post-event outcomes and the post-modern turn: The Olympics and urban transformations,https://www.tandfonline.com/doi/abs/10.1080/16184740601154458,The Olympics are analysed from an urban perspective as an event that has an impact on cities beyond sport. The focus of the paper is on post-event outcomes and particularly on Olympic-related facilities and how they are used once the Olympics are over. The 1988 …,2,13
54,The case against the Special Olympics,http://irasilver.org/wp-content/uploads/2019/11/Reading-Special-Olympics-Storey.pdf,"The Special Olympics has been a controversial program for persons with disabilities. Research has often found negative results concerning the Special Olympics, and there have been numerous discussions in the literature concerning pros and cons of the Special …",4,27
55,The Seoul Olympics: Economic miracle meets the world,https://www.tandfonline.com/doi/abs/10.1080/09523360802438983,The 1988 Olympic Games in Seoul were a coming out party for South Korea–a culmination of its efforts to be recognized as an accomplished economic power and a serious international actor. The South Korean leadership undoubtedly looked for accelerated …,5,13
56,"[BOOK][B] National identity and global sports events: Culture, politics, and spectacle in the Olympics and the Football World Cup",https://books.google.com/books?hl=en&lr=&id=PhgDpnDoRYYC&oi=fnd&pg=PP9&dq=Olympics&ots=LoOR3kmZNt&sig=L5DbEo1gcYWlv2HQMxI6gVqIDn4,"National Identity and Global Sports Events looks at the significance of international sporting events and why they generate enormous audiences worldwide. Focusing on the Olympic Games and the men s football (soccer) World Cup, the contributors examine the political …",3,23
57,The Olympics and'global citizenship',https://www.tandfonline.com/doi/abs/10.1080/13621020220142950,"This paper develops a citizenship-based perspective on an important but under-researched global cultural movement, namely, the Olympic Movement. Drawing on recent research into the Olympics and other popular cultural'mega-event'movements [M. Roche (2000) Mega …",3,21
58,The Beijing Olympics as a campaign of mass distraction,https://www.cambridge.org/core/journals/china-quarterly/article/beijing-olympics-as-a-campaign-of-mass-distraction/F6C9F285432857EC4B1B5A18503D4BF0,"From 2006 to 2008 the predominant theme in the Chinese media was preparations for the 2008 Olympics. These preparations were not merely about putting up new sports stadiums; China also underwent a massive public etiquette campaign, aimed at “civilizing” Chinese …",3,22
59,"Gender parity in the Olympics: Hyping women athletes, favoring men athletes",https://journals.sagepub.com/doi/abs/10.1177/0193723599232003,"Despite claims that the 1996 Summer Games in Atlanta were “the Olympics of the Women,” analysis of the producing network's on-air discourse showed no significant gains in parity for women. Comparison of over 20,000 mentions of names, sports, and associated descriptors …",2,27
60,[BOOK][B] Solidarity politics for millennials: A guide to ending the oppression Olympics,https://books.google.com/books?hl=en&lr=&id=U5fWCwAAQBAJ&oi=fnd&pg=PR3&dq=Olympics&ots=FBcZX04lYG&sig=8OSu_0PHOh0Gg0ZVUUDcrhg2pWQ,"SOLIDARITY POLITICS FOR MILLENNIALS Copyright © Ange-Marie Hancock, 2011. All rights 
reserved. Softcover reprint of the hardcover 1st edition 2011 978-0-230-10800-4 First published 
in 2011 by PALGRAVE MACMILLAN® in the United States—a division of St. Martin's Press …",3,29
61,"[BOOK][B] Watching the Olympics: Politics, power and representation",https://books.google.com/books?hl=en&lr=&id=7c9JaG-8oOMC&oi=fnd&pg=PR2&dq=Olympics&ots=q_rtYrObBC&sig=WU0EiTT9KFUSf5XU3XrG5p-vUn4,"Global sporting events involve the creation, management and mediation of cultural meanings for consumption by massive media audiences. The apotheosis of this cultural form is the Olympic Games. This challenging and provocative new book explores the Olympic …",3,19
62,"[BOOK][B] Sport, revolution and the Beijing Olympics",https://books.google.com/books?hl=en&lr=&id=BmOtAwAAQBAJ&oi=fnd&pg=PA1&dq=Olympics&ots=mc9DpLq5A8&sig=XtKz67QgD_6IcI1IDlC7JfDMeI8,"The 2008 Olympic Games will be held in Beijing, but many human rights activists support a boycott. They liken the circumstances to previous governments that used the games to glorify their regimes--most notoriously the Nazis in 1936. What has led to this perception and …",5,19
63,Media rhetoric as social drama: The Winter Olympics of 1984,https://www.tandfonline.com/doi/abs/10.1080/15295038909366742,The unprecedented importance of commercial media in both the broadcasting and the sponsorship of the Olympic games has had critical implications for their significance as global events. This appraisal of the 1984 Winter Olympics at Sarajevo argues that it was the …,3,26
64,Think again: The olympics,https://www.jstor.org/stable/25462313,"The Olympic Games were founded to bridge cultural divides and promote peace. Instead, they often mask human rights abuses, do little to spur political change, and lend legitimacy to unsavory governments. Worse, the Beijing Games could still be the most controversial of …",5,29
65,Measuring the performance of nations at the Summer Olympics using data envelopment analysis,https://link.springer.com/article/10.1057/palgrave.jors.2601327,"In this paper a well known tool for relative efficiency assessment, namely Data Envelopment Analysis (DEA), is used to measure the performance of the nations participating at the last five Summer Olympic games. The proposed approach considers two inputs (GNP and …",2,13
66,Mega‐sporting events in urban and regional policy: a history of the Winter Olympics,https://www.tandfonline.com/doi/pdf/10.1080/0266543042000192475,"'Mega‐events', such as the Olympic Games, have emerged as an important tool of urban and regional renewal through their ability to justify redevelopment and enhancement, attract inward investment, promote tourism and create new images for host cities. This paper …",2,17
67,The impact of the London Olympics announcement on property prices,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.366.200&rep=rep1&type=pdf,"This study estimates the impact of the London 2012 Olympics announcement on property prices. Using a self-constructed dataset of a sample of property transactions, it is estimated that properties in host boroughs are sold between 2.1 and 3.3 per cent higher, depending on …",1,29
68,[BOOK][B] India and the Olympics,https://books.google.com/books?hl=en&lr=&id=E3ONAgAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=RxV6nVJ8Z4&sig=RBa0m8xITmrUDT8jAAoqngnyN6Q,"In most accounts of Olympic history across the world, India's Olympic journey is a mere footnote. This book is a corrective. Drawing on newly available and hitherto unused archival sources, it demonstrates that India was an important strategic outpost in the Olympic …",2,21
69,"Constructing and contesting the Olympics online: The internet, Rio 2016 and the politics of Brazilian development",https://journals.sagepub.com/doi/abs/10.1177/1012690212455374,"The awarding of the 2016 Summer Olympics to the city of Rio de Janeiro, Brazil continues the trend of international sports mega-events being hosted in the global South and constructed and promoted as part of long-term development plans and policies. Rio 2016 …",3,13
70,Olympic proportions: Cost and cost overrun at the Olympics 1960-2012,http://fairspielen.de/wp-content/uploads/2015/10/Overrun-at-the-Olympics-1960-2012.pdf,"Do different types of megaprojects have different cost overruns? This apparently simple question is at the heart of research at the University of Oxford aimed at understanding the characteristics of megaprojects, particularly in terms of how they are established, run and …",0,28
71,Environmental factors in the summer Olympics in historical perspective,https://www.tandfonline.com/doi/abs/10.1080/02640410400000298,A descriptive approach is adopted in reviewing the probable impact of environmental factors during the summer Olympic Games since their inception in 1896. A historical analytical perspective is impractical due to the lack of reliable climatic data for the earlier Games and …,2,30
72,[BOOK][B] Global television and the politics of the Seoul Olympics,https://books.google.com/books?hl=en&lr=&id=cjn6srhMhbMC&oi=fnd&pg=PR11&dq=Olympics&ots=mWi79gRB2M&sig=D19uwHfKKUIXkGBLoizpOktebs8,"Much of the scholarly attention to Asia in recent decades involves efforts to explain its remarkable economic dynamism. Another subject of growing interest, as the existence of this new series attests, is contemporary politics in the region. However, the relationship between …",3,18
73,Do good Olympics make good neighbors?,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.670.8836&rep=rep1&type=pdf,Most studies of mega‐events such as Olympic Games find a relatively small impact on the cities that host them. One reason given for this finding is that the event displaces tourists who otherwise would have come to the city. This paper documents such displacement by …,4,17
74,The Oxford Olympics Study 2016: Cost and cost overrun at the games,https://arxiv.org/pdf/1607.04484,"Given that Olympic Games held over the past decade each have cost USD 8.9 billion on average, the size and financial risks of the Games warrant study. The objectives of the Oxford Olympics study are to (1) establish the actual outturn costs of previous Olympic …",2,30
75,[BOOK][B] The Austerity Olympics: When the Games Came to London in 1948,https://books.google.com/books?hl=en&lr=&id=yDXLAgAAQBAJ&oi=fnd&pg=PT13&dq=Olympics&ots=ILknczsJnx&sig=WuGziBMg8nai2Il4oqZ0qM0x-SY,'An enthralling account'Independent 'A fascinating book… researched with an awesome thoroughness' Daily Telegraph 'Hampton's excellent book should be compulsory reading for everyone involved in the 2012 London Olympics' Daily Mail Critic's Choice The budget for …,1,19
76,[PDF][PDF] Impacts of Olympics on exports and tourism,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.864.5818&rep=rep1&type=pdf,"There have been debates on the effects of Olympics on economy. Previous studies estimated the direct benefits and costs of Olympic Games, and concluded that the net effects were positive or negative depending on specific assumptions used for evaluations. Recent …",4,13
77,Gender verification in the Olympics,https://jamanetwork.com/journals/jama/article-abstract/193101,"FOR NEARLY 15 YEARS, WE HAVE ADVOCATED ABOLI-tion of laboratory-based, on-site testing for gender verification in sports competition. 1-11 The ostensible goal of gender verification is to ensure that female athletes do not unwittingly compete against men. Given …",5,13
78,[BOOK][B] On the Wrong Side of the Track?: East London and the Post-Olympics,https://muse.jhu.edu/book/34637,"summary On the Wrong Side of the Track focuses on the debates surrounding the development and staging of the 2012 Olympic Games in London. Drawing on contemporary cultural theory the book uses the 2012 Games as a lens to consider the cultural, political and …",1,27
79,Effects of Special Olympics International on social competence in persons with mental retardation,https://www.sciencedirect.com/science/article/pii/S0890856709663802,"Objective To evaluate the social and emotional goals of Special Olympics International, specifically whether Special Olympics facilitates social competence and self-esteem in persons with mental retardation. Method Findings were “triangulated” across three studies …",4,13
80,Values and symbols in orientations to the Olympics,https://www.tandfonline.com/doi/abs/10.1080/15295038909366741,"In this study, survey data are used to support the argument that, consistent with Durkheim's theory, the modern Olympic games are secular religious festivals. The public's thinking about the 1984 Summer Games showed a relatively consensual core of values, ideas, and …",5,31
81,Arsinoe and Berenice at the Olympics,https://www.jstor.org/stable/20190990,"Throughout the existence of the Ptolemaic dynasty, its members competed in the chariot events of the Greek Games. The earliest known victory is that of Lagus, son of Ptolemy I and Tha? s, at the Lycaean festival of 308/7 (SIG3 314); the latest that of Ptolemy XII in the pair at …",3,28
82,Participation motives of Special Olympics athletes,https://journals.humankinetics.com/view/journals/apaq/20/2/article-p150.xml,"This study examined sport participation motives of 147 Special Olympics athletes ages 21 to 70 years. Athletes completed a Sport Motivation Questionnaire (SMQ). No significant differences in participation motives were found for gender, age, race, or sport. Special …",4,13
83,Measuring Olympics achievements based on a parallel DEA approach,https://www.researchgate.net/profile/Yongjun-Li-2/publication/272683680_Measuring_Olympics_achievements_based_on_a_parallel_DEA_approach/links/54ec11da0cf2082851bf4df7/Measuring-Olympics-achievements-based-on-a-parallel-DEA-approach.pdf,Measuring the performance of participating nations in the Olympic Games is an important application of data envelopment analysis (DEA). Prior literature only considers participating nations' performance in the Summer Olympic Games. It may be unfair to some nations who …,2,17
